Datum,Hazai csapat,Vendeg csapat,Haza csapat eredmeny,Vendeg csapat eredmeny,Bajnoksag
6/8/2019,Abkhazia,Chameria,0,0,CONIFA European Football Cup
6/8/2019,Sápmi,Székely Land,3,2,CONIFA European Football Cup
6/8/2019,Artsakh,Padania,2,0,CONIFA European Football Cup
6/9/2019,Japan,El Salvador,2,0,Kirin Challenge Cup
6/9/2019,Switzerland,England,0,0,UEFA Nations League
6/9/2019,Portugal,Netherlands,1,0,UEFA Nations League
6/9/2019,Western Armenia,South Ossetia,0,1,CONIFA European Football Cup
6/10/2019,Czech Republic,Montenegro,3,0,UEFA Euro qualification
6/10/2019,Bulgaria,Kosovo,2,3,UEFA Euro qualification
6/10/2019,Serbia,Lithuania,4,1,UEFA Euro qualification
6/10/2019,Ukraine,Luxembourg,1,0,UEFA Euro qualification
6/10/2019,Republic of Ireland,Gibraltar,2,0,UEFA Euro qualification
6/10/2019,Denmark,Georgia,5,1,UEFA Euro qualification
6/10/2019,Faroe Islands,Norway,0,2,UEFA Euro qualification
6/10/2019,Malta,Romania,0,4,UEFA Euro qualification
6/10/2019,Spain,Sweden,3,0,UEFA Euro qualification
6/10/2019,North Macedonia,Austria,1,4,UEFA Euro qualification
6/10/2019,Poland,Israel,4,0,UEFA Euro qualification
6/10/2019,Latvia,Slovenia,0,5,UEFA Euro qualification
6/11/2019,Germany,Estonia,8,0,UEFA Euro qualification
6/11/2019,Belarus,Northern Ireland,0,1,UEFA Euro qualification
6/11/2019,Azerbaijan,Slovakia,1,5,UEFA Euro qualification
6/11/2019,Hungary,Wales,1,0,UEFA Euro qualification
6/11/2019,Iceland,Turkey,2,1,UEFA Euro qualification
6/11/2019,Albania,Moldova,2,0,UEFA Euro qualification
6/11/2019,Andorra,France,0,4,UEFA Euro qualification
6/11/2019,Kazakhstan,San Marino,4,0,UEFA Euro qualification
6/11/2019,Belgium,Scotland,3,0,UEFA Euro qualification
6/11/2019,Russia,Cyprus,1,0,UEFA Euro qualification
6/11/2019,Italy,Bosnia and Herzegovina,2,1,UEFA Euro qualification
6/11/2019,Liechtenstein,Finland,0,2,UEFA Euro qualification
6/11/2019,Greece,Armenia,2,3,UEFA Euro qualification
6/11/2019,Bangladesh,Laos,0,0,FIFA World Cup qualification
6/11/2019,Brunei,Mongolia,2,1,FIFA World Cup qualification
6/11/2019,Guam,Bhutan,5,0,FIFA World Cup qualification
6/11/2019,Pakistan,Cambodia,1,2,FIFA World Cup qualification
6/11/2019,Sri Lanka,Macau,3,0,FIFA World Cup qualification
6/11/2019,Malaysia,Timor-Leste,5,1,FIFA World Cup qualification
6/14/2019,Brazil,Bolivia,3,0,Copa América
6/15/2019,Venezuela,Peru,0,0,Copa América
6/15/2019,Argentina,Colombia,0,2,Copa América
6/15/2019,Canada,Martinique,4,0,Gold Cup
6/15/2019,Mexico,Cuba,7,0,Gold Cup
6/16/2019,Jersey,Orkney,5,0,Inter Games
6/16/2019,Ynys Môn,Western Isles,2,1,Inter Games
6/16/2019,Alderney,Hitra,2,4,Inter Games
6/16/2019,Saint Helena,Shetland,1,6,Inter Games
6/16/2019,Paraguay,Qatar,2,2,Copa América
6/16/2019,Uruguay,Ecuador,4,0,Copa América
6/16/2019,Haiti,Bermuda,2,1,Gold Cup
6/16/2019,Costa Rica,Nicaragua,4,0,Gold Cup
6/17/2019,Ynys Môn,Orkney,3,1,Inter Games
6/17/2019,Jersey,Western Isles,7,0,Inter Games
6/17/2019,Isle of Man,Hitra,7,1,Inter Games
6/17/2019,Guernsey,Shetland,2,1,Inter Games
6/17/2019,Japan,Chile,0,4,Copa América
6/17/2019,Curaçao,El Salvador,0,1,Gold Cup
6/17/2019,Jamaica,Honduras,3,2,Gold Cup
6/18/2019,Ynys Môn,Jersey,1,0,Inter Games
6/18/2019,Western Isles,Orkney,1,2,Inter Games
6/18/2019,Isle of Man,Alderney,6,1,Inter Games
6/18/2019,Guernsey,Saint Helena,9,0,Inter Games
6/18/2019,Bolivia,Peru,1,3,Copa América
6/18/2019,Brazil,Venezuela,0,0,Copa América
6/18/2019,Panama,Trinidad and Tobago,2,0,Gold Cup
6/18/2019,United States,Guyana,4,0,Gold Cup
6/19/2019,Colombia,Qatar,1,0,Copa América
6/19/2019,Argentina,Paraguay,1,1,Copa América
6/19/2019,Cuba,Martinique,0,3,Gold Cup
6/19/2019,Mexico,Canada,3,1,Gold Cup
6/20/2019,Western Isles,Saint Helena,2,1,Inter Games
6/20/2019,Orkney,Alderney,1,2,Inter Games
6/20/2019,Jersey,Hitra,3,1,Inter Games
6/20/2019,Ynys Môn,Shetland,2,1,Inter Games
6/20/2019,Isle of Man,Guernsey,2,3,Inter Games
6/20/2019,Uruguay,Japan,2,2,Copa América
6/20/2019,Nicaragua,Haiti,0,2,Gold Cup
6/20/2019,Costa Rica,Bermuda,2,1,Gold Cup
6/21/2019,Shetland,Isle of Man,0,5,Inter Games
6/21/2019,Ynys Môn,Guernsey,2,1,Inter Games
6/21/2019,Egypt,Zimbabwe,1,0,African Cup of Nations
6/21/2019,Ecuador,Chile,1,2,Copa América
6/21/2019,El Salvador,Jamaica,0,0,Gold Cup
6/21/2019,Honduras,Curaçao,0,1,Gold Cup
6/22/2019,DR Congo,Uganda,0,2,African Cup of Nations
6/22/2019,Nigeria,Burundi,1,0,African Cup of Nations
